"","Cast","Date","Depth_m","Bin8","Bin9","Bin10","Bin11","Bin12","Bin13","Bin_Sum"
"301","OPC003","19-Sep",0.41,5,7,4,1,1,0,18
"302","OPC003","19-Sep",0.62,5,5,1,3,0,0,14
"303","OPC003","19-Sep",0.72,2,8,2,1,0,0,13
"304","OPC003","19-Sep",0.83,4,8,0,0,1,0,13
"305","OPC003","19-Sep",1.14,5,4,4,3,0,0,16
"306","OPC003","19-Sep",1.45,6,6,2,2,0,0,16
"307","OPC003","19-Sep",1.66,6,3,1,0,0,0,10
"308","OPC003","19-Sep",1.77,7,5,1,0,0,0,13
"309","OPC003","19-Sep",1.97,6,8,1,2,3,0,20
"310","OPC003","19-Sep",2.29,15,7,5,2,0,0,29
"311","OPC003","19-Sep",2.71,4,3,4,4,1,0,16
"312","OPC003","19-Sep",2.81,7,2,3,3,0,1,16
"313","OPC003","19-Sep",2.91,11,4,2,3,0,0,20
"314","OPC003","19-Sep",3.33,9,4,6,3,0,0,22
"315","OPC003","19-Sep",3.65,9,8,9,6,0,0,32
"316","OPC003","19-Sep",3.86,8,3,8,1,0,0,20
"317","OPC003","19-Sep",4.17,5,3,2,3,0,0,13
"318","OPC003","19-Sep",4.38,8,9,2,1,0,0,20
"319","OPC003","19-Sep",4.69,4,7,3,2,1,0,17
"320","OPC003","19-Sep",5,4,5,4,4,1,1,19
"321","OPC003","19-Sep",5.32,7,4,9,2,0,0,22
"322","OPC003","19-Sep",5.63,9,3,4,3,1,0,20
"323","OPC003","19-Sep",5.84,7,3,4,1,0,0,15
"324","OPC003","19-Sep",6.05,4,7,3,0,0,0,14
"325","OPC003","19-Sep",6.57,9,2,2,0,1,0,14
"326","OPC003","19-Sep",6.78,11,6,2,1,0,0,20
"327","OPC003","19-Sep",6.99,10,2,1,1,0,0,14
"328","OPC003","19-Sep",7,10,4,8,5,0,0,27
"329","OPC003","19-Sep",7.83,5,4,4,0,0,0,13
"330","OPC003","19-Sep",8.35,6,5,1,0,0,0,12
"331","OPC003","19-Sep",8.45,8,6,2,1,0,0,17
"332","OPC003","19-Sep",9.08,6,2,3,3,0,0,14
"333","OPC003","19-Sep",9.18,8,4,3,1,1,0,17
"334","OPC003","19-Sep",9.5,11,4,2,2,0,1,20
"335","OPC003","19-Sep",10.12,9,5,2,1,0,0,17
"336","OPC003","19-Sep",10.44,8,5,6,2,0,0,21
"337","OPC003","19-Sep",10.75,3,5,4,3,0,0,15
"338","OPC003","19-Sep",11.17,6,9,2,0,1,0,18
"339","OPC003","19-Sep",11.38,5,4,3,3,3,0,18
"340","OPC003","19-Sep",11.9,6,7,3,2,1,0,19
"341","OPC003","19-Sep",12.42,10,5,4,1,0,0,20
"342","OPC003","19-Sep",12.63,8,5,3,1,0,1,18
"343","OPC003","19-Sep",13.05,10,7,4,3,0,0,24
"344","OPC003","19-Sep",13.47,5,4,6,3,1,1,20
"345","OPC003","19-Sep",13.99,8,4,3,2,1,0,18
"346","OPC003","19-Sep",14.41,3,5,5,5,0,0,18
"347","OPC003","19-Sep",14.72,8,8,3,2,0,0,21
"348","OPC003","19-Sep",15.24,4,3,4,2,0,0,13
"349","OPC003","19-Sep",15.66,4,7,1,2,2,1,17
"350","OPC003","19-Sep",15.98,8,2,2,4,2,0,18
"351","OPC003","19-Sep",16.5,3,2,9,1,0,1,16
"352","OPC003","19-Sep",16.92,3,3,2,1,0,1,10
"353","OPC003","19-Sep",17.23,2,5,2,0,1,0,10
"354","OPC003","19-Sep",17.65,6,4,1,3,1,0,15
"355","OPC003","19-Sep",17.96,8,9,4,1,0,0,22
"356","OPC003","19-Sep",18.48,10,4,5,0,1,0,20
"357","OPC003","19-Sep",18.8,7,5,1,1,0,0,14
"358","OPC003","19-Sep",19.11,6,6,1,2,0,1,16
"359","OPC003","19-Sep",19.42,6,5,4,1,2,0,18
"360","OPC003","19-Sep",19.74,7,5,4,1,1,1,19
"361","OPC003","19-Sep",20.05,5,3,3,3,2,2,18
"362","OPC003","19-Sep",20.47,7,7,0,1,0,1,16
"363","OPC003","19-Sep",20.78,5,8,1,2,0,0,16
"364","OPC003","19-Sep",21.1,4,6,1,0,0,0,11
"365","OPC003","19-Sep",21.41,5,3,0,1,0,0,9
"366","OPC003","19-Sep",21.72,3,1,4,0,0,0,8
"367","OPC003","19-Sep",22.04,5,5,2,3,0,0,15
"368","OPC003","19-Sep",22.45,8,4,2,2,1,0,17
"369","OPC003","19-Sep",22.66,9,6,4,2,0,0,21
"370","OPC003","19-Sep",22.98,13,6,3,0,0,0,22
"371","OPC003","19-Sep",23.29,4,4,3,0,1,0,12
"372","OPC003","19-Sep",23.71,7,4,5,0,0,0,16
"373","OPC003","19-Sep",23.92,3,5,2,0,0,0,10
"374","OPC003","19-Sep",24.23,8,5,2,0,0,0,15
"375","OPC003","19-Sep",24.54,5,8,1,0,1,0,15
"376","OPC003","19-Sep",24.86,7,6,0,2,0,0,15
"377","OPC003","19-Sep",25.17,11,4,4,1,0,0,20
"378","OPC003","19-Sep",25.59,6,3,2,1,0,0,12
"379","OPC003","19-Sep",25.8,10,3,1,0,0,0,14
"380","OPC003","19-Sep",26.01,7,2,2,1,0,0,12
"381","OPC003","19-Sep",26.42,3,4,7,2,0,0,16
"382","OPC003","19-Sep",26.84,7,3,4,1,0,0,15
"383","OPC003","19-Sep",26.95,9,4,5,2,1,0,21
"384","OPC003","19-Sep",27.36,9,0,5,4,1,0,19
"385","OPC003","19-Sep",27.57,4,6,3,0,3,0,16
"386","OPC003","19-Sep",27.99,4,7,1,3,2,1,18
"387","OPC003","19-Sep",28.41,9,5,4,4,1,1,24
"388","OPC003","19-Sep",28.62,9,4,6,3,0,0,22
"389","OPC003","19-Sep",28.93,3,8,2,6,1,1,21
"390","OPC003","19-Sep",29.14,3,7,4,0,0,0,14
"391","OPC003","19-Sep",29.56,7,6,2,3,2,1,21
"392","OPC003","19-Sep",29.87,3,6,12,0,2,0,23
"393","OPC003","19-Sep",30.19,5,4,8,5,1,1,24
"394","OPC003","19-Sep",30.39,5,4,2,4,0,0,15
"395","OPC003","19-Sep",30.6,5,3,5,3,0,0,16
"396","OPC003","19-Sep",31.02,4,5,8,4,2,0,23
"397","OPC003","19-Sep",31.54,8,6,1,3,2,0,20
"398","OPC003","19-Sep",31.65,3,3,5,1,0,0,12
"399","OPC003","19-Sep",31.96,8,6,1,0,0,0,15
"400","OPC003","19-Sep",32.28,4,2,5,2,0,0,13
"401","OPC003","19-Sep",32.48,9,2,5,2,2,0,20
"402","OPC003","19-Sep",33.01,7,3,8,3,0,0,21
"403","OPC003","19-Sep",33.11,9,3,5,4,0,0,21
