,Lon,Lat,Date,Station,Track
1,-66.917205,44.94489167,25-Sep,,
2,-66.916335,44.94528667,25-Sep,,
3,-66.914885,44.946125,25-Sep,,
4,-66.91396,44.94672,25-Sep,,
5,-66.91348667,44.947075,25-Sep,,
6,-66.91311167,44.94743833,25-Sep,,
7,-66.91241333,44.94824167,25-Sep,,
8,-66.91205333,44.94880167,25-Sep,,
9,-66.91146,44.94936,25-Sep,,
10,-66.91111167,44.94964167,25-Sep,,
11,-66.91065833,44.949915,25-Sep,,
12,-66.910485,44.949985,25-Sep,,
13,-66.91037,44.95000333,25-Sep,,
14,-66.91022333,44.949965,25-Sep,,
15,-66.90847667,44.94861167,25-Sep,,
16,-66.907885,44.94824,25-Sep,,
17,-66.90579333,44.94716333,25-Sep,,
18,-66.90351667,44.946105,25-Sep,,
19,-66.90109,44.94506833,25-Sep,,
20,-66.900255,44.94465167,25-Sep,,
21,-66.89890667,44.94386,25-Sep,,
22,-66.89725667,44.9428,25-Sep,,
23,-66.89604167,44.94193667,25-Sep,,
24,-66.894935,44.94122667,25-Sep,,
25,-66.89334333,44.94011,25-Sep,,
26,-66.88422667,44.93395833,25-Sep,,
27,-66.88266167,44.93296167,25-Sep,,
28,-66.88017,44.931215,25-Sep,,
29,-66.87844667,44.93014667,25-Sep,,
30,-66.87603,44.928795,25-Sep,,
31,-66.87147167,44.92594333,25-Sep,,
32,-66.868215,44.923815,25-Sep,,
33,-66.861965,44.919265,25-Sep,,
34,-66.86093833,44.91859,25-Sep,,
35,-66.85909,44.91727167,25-Sep,,
36,-66.85782333,44.91640833,25-Sep,,
37,-66.85165,44.91242167,25-Sep,,
38,-66.84440667,44.907855,25-Sep,,
39,-66.83797833,44.90358667,25-Sep,,
40,-66.83620333,44.90247,25-Sep,,
41,-66.82782333,44.89682333,25-Sep,,
42,-66.82566,44.89543333,25-Sep,,
43,-66.823155,44.89372333,25-Sep,,
44,-66.81469333,44.88810167,25-Sep,,
45,-66.80999333,44.88506667,25-Sep,,
46,-66.80643167,44.88295,25-Sep,,
47,-66.79962833,44.878625,25-Sep,,
48,-66.79636,44.87662833,25-Sep,,
49,-66.795045,44.87577167,25-Sep,,
50,-66.79115,44.873365,25-Sep,,
51,-66.78858833,44.87185667,25-Sep,,
52,-66.78066,44.86733667,25-Sep,,
53,-66.77747333,44.86530167,25-Sep,,
54,-66.774155,44.86307833,25-Sep,,
55,-66.767705,44.85848333,25-Sep,,
56,-66.76571333,44.85701,25-Sep,,
57,-66.76388,44.85576667,25-Sep,,
58,-66.76040667,44.85327167,25-Sep,,
59,-66.75804833,44.85164833,25-Sep,,
60,-66.75549333,44.84999167,25-Sep,,
61,-66.75263833,44.848065,25-Sep,,
62,-66.74404,44.84242833,25-Sep,,
63,-66.74307667,44.84184167,25-Sep,,
64,-66.73768833,44.83832167,25-Sep,,
65,-66.73130667,44.83403667,25-Sep,,
66,-66.730075,44.83325167,25-Sep,,
67,-66.72518833,44.82993167,25-Sep,,
68,-66.72167667,44.82743333,25-Sep,,
69,-66.71681333,44.82419,25-Sep,,
70,-66.71066667,44.82021,25-Sep,,
71,-66.70780333,44.81826,25-Sep,,
72,-66.70605667,44.81714,25-Sep,,
73,-66.701805,44.81429,25-Sep,,
74,-66.697425,44.811435,25-Sep,,
75,-66.68947833,44.80613333,25-Sep,,
76,-66.68330333,44.8023,25-Sep,,
77,-66.67926833,44.799735,25-Sep,,
78,-66.67359667,44.79624,25-Sep,,
79,-66.67106333,44.79475,25-Sep,,
80,-66.66218667,44.78917,25-Sep,,
81,-66.65981167,44.78757,25-Sep,,
82,-66.65661667,44.78558167,25-Sep,,
83,-66.65478,44.78433167,25-Sep,,
84,-66.64860167,44.78041167,25-Sep,,
85,-66.64676667,44.77919833,25-Sep,,
86,-66.64233167,44.77614667,25-Sep,,
87,-66.639785,44.77433833,25-Sep,,
88,-66.637565,44.77282833,25-Sep,,
89,-66.635865,44.77158833,25-Sep,,
90,-66.62844333,44.76667167,25-Sep,,
91,-66.62624167,44.76526,25-Sep,,
92,-66.61686667,44.75897667,25-Sep,,
93,-66.61558833,44.75817167,25-Sep,,
94,-66.61052167,44.75474167,25-Sep,,
95,-66.60780833,44.75300167,25-Sep,,
96,-66.59904333,44.747085,25-Sep,,
97,-66.58580167,44.73827667,25-Sep,,
98,-66.58259833,44.73619167,25-Sep,,
99,-66.567165,44.72593,25-Sep,,
100,-66.56526833,44.72472667,25-Sep,,
101,-66.558275,44.72012833,25-Sep,,
102,-66.55685833,44.71924167,25-Sep,,
103,-66.554695,44.717785,25-Sep,,
104,-66.55208667,44.71618333,25-Sep,,
105,-66.54780667,44.71335333,25-Sep,,
106,-66.54537667,44.711825,25-Sep,,
107,-66.54232167,44.709775,25-Sep,,
108,-66.52939833,44.70131667,25-Sep,,
109,-66.52720333,44.69994167,25-Sep,,
110,-66.52321667,44.69734667,25-Sep,,
111,-66.51633,44.69299333,25-Sep,,
112,-66.51077167,44.68932,25-Sep,,
113,-66.50673167,44.68676167,25-Sep,,
114,-66.50479667,44.6854,25-Sep,,
115,-66.49861,44.68190333,25-Sep,,
116,-66.49533833,44.67997167,25-Sep,,
117,-66.49481833,44.67963667,25-Sep,,
118,-66.49460167,44.67945333,25-Sep,,
119,-66.49451833,44.67930833,25-Sep,,
120,-66.49449167,44.67916167,25-Sep,,
121,-66.494535,44.67897833,25-Sep,,
122,-66.49532167,44.67777333,25-Sep,,
123,-66.49557833,44.67749667,25-Sep,,
124,-66.49578167,44.67732667,25-Sep,,
125,-66.49591,44.6773,25-Sep,,
126,-66.49603833,44.67733333,25-Sep,,
127,-66.49613167,44.67741667,25-Sep,,
128,-66.49613833,44.67748333,25-Sep,,
129,-66.49605667,44.67756167,25-Sep,,
130,-66.49564833,44.677755,25-Sep,,
131,-66.495455,44.67789167,25-Sep,,
132,-66.49533,44.67806333,25-Sep,,
133,-66.49529167,44.678255,25-Sep,,
134,-66.49534,44.67845167,25-Sep,,
135,-66.49552833,44.67879333,25-Sep,,
136,-66.49553833,44.67888667,25-Sep,,
137,-66.49547,44.67897833,25-Sep,,
138,-66.49537333,44.67901,25-Sep,,
139,-66.49521,44.67896333,25-Sep,,
140,-66.49512833,44.67886667,25-Sep,,
141,-66.49509667,44.67866833,25-Sep,,
142,-66.49525667,44.67775167,25-Sep,,
143,-66.49532,44.67763833,25-Sep,,
144,-66.49613833,44.67711833,25-Sep,,
145,-66.49637,44.67694167,25-Sep,,
146,-66.49768167,44.675355,25-Sep,,
147,-66.498115,44.67490333,25-Sep,,
148,-66.49819833,44.67487167,25-Sep,,
149,-66.49831333,44.67489167,25-Sep,,
150,-66.49837,44.67495833,25-Sep,,
151,-66.49834,44.67514333,25-Sep,,
152,-66.49827833,44.67526667,25-Sep,,
153,-66.498175,44.67533667,25-Sep,,
154,-66.49741833,44.675405,25-Sep,,
155,-66.49727667,44.67539333,25-Sep,,
156,-66.49716167,44.675335,25-Sep,,
157,-66.49708833,44.67523333,25-Sep,,
158,-66.49708,44.675085,25-Sep,,
159,-66.497155,44.67490167,25-Sep,,
160,-66.49736833,44.67463,25-Sep,,
161,-66.49768167,44.674375,25-Sep,,
162,-66.49776,44.67434833,25-Sep,,
163,-66.49787167,44.674395,25-Sep,,
164,-66.49814833,44.67519333,25-Sep,,
165,-66.49821333,44.67529333,25-Sep,,
166,-66.49826333,44.67519333,25-Sep,,
167,-66.498365,44.67519333,25-Sep,,
168,-66.49855833,44.67527667,25-Sep,,
169,-66.49872167,44.67530333,25-Sep,,
170,-66.49898833,44.67527833,25-Sep,,
171,-66.49930333,44.67519167,25-Sep,,
172,-66.49952833,44.67508,25-Sep,,
173,-66.49972333,44.674885,25-Sep,,
174,-66.50014833,44.67419333,25-Sep,,
175,-66.500555,44.67364667,25-Sep,,
176,-66.50173833,44.67171667,25-Sep,,
177,-66.50279333,44.67016833,25-Sep,,
178,-66.50284167,44.67013667,25-Sep,,
179,-66.50299,44.67017333,25-Sep,,
180,-66.5031,44.670265,25-Sep,,
181,-66.50315167,44.67039667,25-Sep,,
182,-66.50312167,44.670515,25-Sep,,
183,-66.50302833,44.670625,25-Sep,,
184,-66.50251667,44.67082333,25-Sep,,
185,-66.50182167,44.67100833,25-Sep,,
186,-66.50135833,44.671175,25-Sep,,
187,-66.50063,44.671555,25-Sep,,
188,-66.49993833,44.67198,25-Sep,,
189,-66.49844833,44.67252167,25-Sep,,
190,-66.496305,44.67309,25-Sep,,
191,-66.49464167,44.67348833,25-Sep,,
192,-66.49278833,44.67381833,25-Sep,,
193,-66.492505,44.67389333,25-Sep,,
194,-66.49237833,44.67396833,25-Sep,,
195,-66.49233167,44.674055,25-Sep,,
196,-66.49236,44.67456833,25-Sep,,
197,-66.49221833,44.67472833,25-Sep,,
