 ,Area,Mean,Min,Max,Angle,Length (cm),Length (mm)
1,1.12E-04,143.111,115.13,219,-7.352,0.083,0.83
2,1.03E-04,138.142,101.59,189.333,-19.058,0.077,0.77
3,1.07E-04,160.488,124.511,208.336,-43.983,0.079,0.79
4,1.10E-04,165.767,128,186.934,50.194,0.083,0.83
5,5.59E-05,162.895,141.333,202.667,-99.162,0.042,0.42
6,1.52E-04,163.11,120.954,239.695,-77.975,0.114,1.14
7,1.17E-04,147.699,126.364,203.606,59.931,0.087,0.87
8,5.94E-05,163.733,110.667,190.55,30.816,0.044,0.44
9,1.08E-04,151.473,128.455,205,89.526,0.08,0.8
10,1.70E-04,170.652,137.5,231.25,24.963,0.127,1.27
11,1.22E-04,172.179,121.861,231.076,118.244,0.091,0.91
12,1.47E-04,173.993,108.85,237.705,-12.529,0.11,1.1
13,1.01E-04,144.087,121.404,168.088,-86.987,0.075,0.75
14,7.17E-05,168.375,144.333,197.817,104.381,0.053,0.53
15,5.42E-05,217.634,189,246.333,82.405,0.04,0.4
16,8.57E-05,215.058,161.083,255,-84.053,0.064,0.64
17,1.35E-04,216.447,120,255,93.013,0.101,1.01
18,1.05E-04,218.828,167.232,253.209,2.911,0.078,0.78
19,1.49E-04,189.397,157.755,255,146.689,0.111,1.11
20,5.94E-05,204.929,95.747,255,104.036,0.044,0.44
21,8.39E-05,207.497,144.604,254.972,-63.435,0.062,0.62
22,8.91E-05,228.639,200.26,255,-88.854,0.066,0.66
23,5.42E-05,243.214,214,255,-133.668,0.04,0.4
24,5.24E-05,229.328,193.283,254.929,-116.565,0.038,0.38
25,1.49E-04,198.254,170.966,243.596,148.57,0.112,1.12
26,8.22E-05,215.157,162.681,254.87,-7.431,0.061,0.61
27,1.03E-04,214.525,166.333,253.902,-175.073,0.077,0.77
28,9.96E-05,233.964,199.939,255,10.305,0.074,0.74
29,6.64E-05,229.155,202.624,254.264,-38.418,0.049,0.49
30,1.10E-04,201.205,177.319,254.667,41.711,0.081,0.81
31,1.68E-04,213.893,136.333,254.73,-174.588,0.126,1.26
32,1.03E-04,234.597,190.227,254.579,-14.036,0.076,0.76
33,1.05E-04,223.425,149,254.569,-101.689,0.078,0.78
34,1.50E-04,216.931,152.329,255,-8.797,0.112,1.12
35,2.47E-04,210.853,181.48,254.674,20.891,0.185,1.85
36,2.55E-04,200.394,104.176,254.94,141.71,0.192,1.92
37,1.64E-04,178.005,134.055,249.597,-108.239,0.122,1.22
38,1.61E-04,195.829,175.739,242.229,53.509,0.12,1.2
39,2.59E-04,213.946,169.381,239.356,11.768,0.194,1.94
40,1.24E-04,226.333,123.667,254.832,144.273,0.093,0.93
41,1.84E-04,208.595,169.345,242.449,21.393,0.138,1.38
42,2.53E-04,180.622,137.942,245.333,-75.964,0.191,1.91
43,3.23E-04,144.59,111.333,254.511,2.8,0.244,2.44
44,5.59E-05,254.658,252.565,255,-39.806,0.041,0.41
45,6.47E-05,197.218,161.917,255,-88.409,0.048,0.48
46,8.91E-05,198.478,159.23,242.333,-161.2,0.066,0.66
47,5.42E-05,245.536,222.978,255,-97.595,0.04,0.4
48,5.94E-05,244.458,155,255,-127.569,0.043,0.43
49,6.82E-05,231.383,203.333,255,-61.39,0.05,0.5
50,5.94E-05,242.435,56,255,-173.089,0.044,0.44
51,5.42E-05,245.515,220,255,-126.87,0.04,0.4
52,1.05E-04,200.412,155.772,236.809,19.654,0.079,0.79
53,1.01E-04,229.167,176.325,255,-28.369,0.075,0.75
54,1.07E-04,228.557,165.438,255,-26.565,0.08,0.8
55,1.05E-04,224.266,132.333,253.281,-163.393,0.079,0.79
56,1.64E-04,214.258,152.906,255,15.524,0.123,1.23
57,9.09E-05,231.672,189,254.718,-128.66,0.068,0.68
58,6.47E-05,225.672,193.083,255,50.599,0.048,0.48
59,7.52E-05,206.846,168.31,254.667,34.439,0.056,0.56
60,4.72E-05,234.515,217.667,255,-169.114,0.035,0.35
61,9.26E-05,212.983,168.302,253.966,-118.523,0.069,0.69
62,1.01E-04,231.371,202.667,249.873,-130.061,0.076,0.76
63,1.01E-04,207.575,173.849,243,15.255,0.075,0.75
