Data Start: 2020-09-19 17:50:32
Data End: 2020-09-19 18:07:10
Devicename: Multi Plankton Sampler MPS
IdentNo.: 1020

Net []
Range1: 0 to 5

Pressure [dbar]
Range1: 0.0 to 3000.0  Cal0: -8.585877E+2  Cal1: 1.175972E-1  Cal2: -1.044298E-6  Cal3: -1.441992E+0  Cal4: 9.253807E-5  Cal5: -8.766143E-10  Cal6: 7.97392E-2  Cal7: 7.856609E-2  Cal8: -1.359118E-8

Volume [m³]
Range1: 0 to 65000  Cal0: 2.5E-1

Flow in [m/s]
Range1: 0.0000 to 9.9000

Flow out [m/s]
Range1: 0.0000 to 9.9000

Flow ratio [%]
Range1: 0.00 to 200.00

Header Comment

Ship: Barker Boys
Cruise:	
Station: 003
Cast: 001
Position: Start: 44 55.316 N  66 56.822 W | End: 44 53.33 N  66.47.285 W
Operator: Davies/Pearson		


Time [hh:mm:ss]	Net []	Pressure [dbar]	Volume [m³]	Flow in [m/s]	Flow out [m/s]	Flow ratio [%]	Comments  [Index]
17:50:32	0	0.1	0	0.0000	0.0000	0.00	
17:50:33	0	0.1	0	0.0000	0.0000	0.00	
17:50:34	0	0.1	0	0.0000	0.0000	0.00	
17:50:35	0	0.1	0	0.0000	0.1000	0.00	
17:50:36	0	0.1	0	0.0000	0.1000	0.00	
17:50:37	0	0.1	0	0.0000	0.1000	0.00	
17:50:38	0	0.1	0	0.0000	0.2000	0.00	
17:50:39	0	0.1	0	0.0000	0.1000	0.00	
17:50:40	0	0.1	0	0.0000	0.0000	0.00	
17:50:41	0	0.1	0	0.0000	0.0000	0.00	
17:50:42	0	0.1	0	0.0000	0.2000	0.00	
17:50:43	0	0.1	0	0.0000	0.2000	0.00	
17:50:44	0	0.1	0	0.0000	0.0000	0.00	
17:50:45	0	0.1	0	0.0000	0.0000	0.00	
17:50:46	0	0.1	0	0.0000	0.2000	0.00	
17:50:47	0	0.1	0	0.1000	0.5000	20.00	
17:50:48	0	0.1	0	0.1000	0.3000	33.33	
17:50:49	0	0.1	0	0.0000	0.0000	0.00	
17:50:50	0	0.1	0	0.0000	0.0000	0.00	
17:50:51	0	0.1	0	0.0000	0.0000	0.00	
17:50:52	0	0.1	0	0.0000	0.0000	0.00	
17:50:53	0	0.1	0	0.0000	0.0000	0.00	
17:50:54	0	0.1	0	0.0000	0.0000	0.00	
17:50:55	0	0.1	0	0.0000	0.0000	0.00	
17:50:56	0	0.1	0	0.0000	0.0000	0.00	
17:50:57	0	0.1	0	0.0000	0.0000	0.00	
17:50:58	0	0.1	0	0.0000	0.0000	0.00	
17:50:59	0	0.1	0	0.0000	0.0000	0.00	
17:51:00	0	0.2	0	0.0000	0.0000	0.00	
17:51:01	0	0.1	0	0.0000	0.0000	0.00	
17:51:02	0	0.1	0	0.1000	0.0000	0.00	
17:51:03	0	0.1	0	0.1000	0.0000	0.00	
17:51:04	0	0.1	0	0.2000	0.0000	0.00	
17:51:05	0	0.1	0	1.3000	0.0000	0.00	
17:51:06	0	0.1	1	2.6000	0.0000	0.00	
17:51:07	0	0.1	2	2.7000	0.0000	0.00	
17:51:08	0	0.1	2	2.1000	0.0000	0.00	
17:51:09	0	0.1	2	1.6000	0.0000	0.00	
17:51:10	0	0.1	3	1.1000	0.0000	0.00	
17:51:11	0	0.1	3	0.4000	0.0000	0.00	
17:51:12	0	0.1	3	1.5000	0.0000	0.00	
17:51:13	0	0.1	4	3.8000	0.0000	0.00	
17:51:14	0	0.1	5	3.3000	0.0000	0.00	
17:51:15	0	0.1	6	2.3000	0.0000	0.00	
17:51:16	0	0.1	7	3.1000	0.0000	0.00	
17:51:17	0	0.1	7	3.6000	0.0000	0.00	
17:51:18	0	0.1	8	3.2000	0.0000	0.00	
17:51:19	0	0.1	9	3.9000	0.0000	0.00	
17:51:20	0	0.1	10	4.0000	0.0000	0.00	
17:51:21	0	0.2	10	2.1000	0.0000	0.00	
17:51:22	0	0.1	10	0.5000	0.0000	0.00	
17:51:23	0	0.1	11	1.6000	0.1000	1600.00	
17:51:24	0	0.1	12	3.5000	0.1000	3500.00	
17:51:25	0	0.1	13	3.2000	0.0000	0.00	
17:51:26	0	0.1	13	1.6000	0.0000	0.00	
17:51:27	0	0.1	13	0.7000	0.0000	0.00	
17:51:28	0	0.1	13	0.5000	0.0000	0.00	
17:51:29	0	0.2	13	0.3000	0.0000	0.00	
17:51:30	0	0.1	13	0.1000	0.0000	0.00	
