Data Start: 2020-09-19 19:52:45
Data End: 2020-09-19 20:09:18
Devicename: Multi Plankton Sampler MPS
IdentNo.: 1020

Net []
Range1: 0 to 5

Pressure [dbar]
Range1: 0.0 to 3000.0  Cal0: -8.585877E+2  Cal1: 1.175972E-1  Cal2: -1.044298E-6  Cal3: -1.441992E+0  Cal4: 9.253807E-5  Cal5: -8.766143E-10  Cal6: 7.97392E-2  Cal7: 7.856609E-2  Cal8: -1.359118E-8

Volume [m³]
Range1: 0 to 65000  Cal0: 2.5E-1

Flow in [m/s]
Range1: 0.0000 to 9.9000

Flow out [m/s]
Range1: 0.0000 to 9.9000

Flow ratio [%]
Range1: 0.00 to 200.00

Header Comment

Ship: Barker Boys
Cruise:		
Station: 004	
Cast: 002
Position: Start: 44 52.372 N  66 47.662 W | End: 44 52.028 N  66 48.425 W
Operator: Davies/Pearson


Time [hh:mm:ss]	Net []	Pressure [dbar]	Volume [m³]	Flow in [m/s]	Flow out [m/s]	Flow ratio [%]	Comments  [Index]
19:52:45	0	0.0	0	0.0000	0.7000	0.00	
19:52:46	0	0.1	0	0.0000	0.8000	0.00	
19:52:47	0	0.1	0	0.0000	0.1000	0.00	
19:52:48	0	0.1	0	0.0000	0.0000	0.00	
19:52:49	0	0.1	0	0.0000	0.0000	0.00	
19:52:50	0	0.1	0	0.0000	0.0000	0.00	
19:52:51	0	0.1	0	0.0000	0.0000	0.00	
19:52:52	0	0.1	0	0.0000	0.1000	0.00	
19:52:53	0	0.1	0	0.0000	0.1000	0.00	
19:52:54	0	0.1	0	0.0000	0.0000	0.00	
19:52:55	0	0.1	0	0.0000	0.0000	0.00	
19:52:56	0	0.1	0	0.0000	0.0000	0.00	
19:52:57	0	0.1	0	0.0000	0.0000	0.00	
19:52:58	0	0.0	0	0.0000	0.0000	0.00	
19:52:59	0	0.1	0	0.0000	0.0000	0.00	
19:53:00	0	0.1	0	0.0000	0.0000	0.00	
19:53:01	0	0.0	0	0.0000	0.0000	0.00	
19:53:02	0	0.0	0	0.0000	0.0000	0.00	
19:53:03	0	0.0	0	0.0000	0.0000	0.00	
19:53:04	0	0.0	0	0.0000	0.0000	0.00	
