Data Start: 2020-09-21 14:12:21
Data End: 2020-09-21 14:33:54
Devicename: Multi Plankton Sampler MPS
IdentNo.: 1020

Net []
Range1: 0 to 5

Pressure [dbar]
Range1: 0.0 to 3000.0  Cal0: -8.585877E+2  Cal1: 1.175972E-1  Cal2: -1.044298E-6  Cal3: -1.441992E+0  Cal4: 9.253807E-5  Cal5: -8.766143E-10  Cal6: 7.97392E-2  Cal7: 7.856609E-2  Cal8: -1.359118E-8

Volume [m³]
Range1: 0 to 65000  Cal0: 2.5E-1

Flow in [m/s]
Range1: 0.0000 to 9.9000

Flow out [m/s]
Range1: 0.0000 to 9.9000

Flow ratio [%]
Range1: 0.00 to 200.00

Header Comment

Ship: Barker Boys
Cruise:
Station: 007
Cast: 011
Position: Start: 44 41.206 N  66 29.146 W | End: 44 41.853 N  66 29.085 W
Operator: Davies/Pearson


Time [hh:mm:ss]	Net []	Pressure [dbar]	Volume [m³]	Flow in [m/s]	Flow out [m/s]	Flow ratio [%]	Comments  [Index]
14:12:21	0	0.2	0	0.0000	0.0000	0.00	
14:12:22	0	0.2	0	0.0000	0.0000	0.00	
14:12:23	0	0.3	0	0.0000	0.0000	0.00	
14:12:24	0	0.3	0	0.0000	0.0000	0.00	
14:12:25	0	0.1	0	0.1000	0.0000	0.00	
14:12:26	0	0.1	0	0.1000	0.0000	0.00	
14:12:27	0	0.1	0	0.0000	0.0000	0.00	
14:12:28	0	0.1	0	0.0000	0.0000	0.00	
14:12:29	0	0.1	0	0.0000	0.0000	0.00	
14:12:30	0	0.1	0	0.0000	0.0000	0.00	
14:12:31	0	0.1	0	0.0000	0.0000	0.00	
14:12:32	0	0.1	0	0.0000	0.0000	0.00	
14:12:33	0	0.1	0	0.0000	0.0000	0.00	
14:12:34	0	0.1	0	0.0000	0.0000	0.00	
14:12:35	0	0.1	0	0.0000	0.0000	0.00	
14:12:36	0	0.2	0	0.0000	0.0000	0.00	
14:12:37	0	0.1	0	0.1000	0.0000	0.00	
14:12:38	0	0.2	0	0.1000	0.0000	0.00	
14:12:39	0	0.2	0	0.2000	0.0000	0.00	
14:12:40	0	0.2	0	0.2000	0.0000	0.00	
14:12:41	0	0.2	0	0.1000	0.0000	0.00	
14:12:42	0	0.3	0	0.1000	0.0000	0.00	
14:12:43	0	0.1	0	0.1000	0.0000	0.00	
14:12:44	0	0.3	0	0.1000	0.0000	0.00	
14:12:45	0	0.1	0	0.3000	0.0000	0.00	
14:12:46	0	0.1	0	0.3000	0.0000	0.00	
14:12:47	0	0.1	0	0.0000	0.0000	0.00	
14:12:48	0	0.1	0	0.0000	0.0000	0.00	
14:12:49	0	0.1	0	0.0000	0.0000	0.00	
14:12:50	0	0.1	0	0.0000	0.0000	0.00	
14:12:51	0	0.1	0	0.0000	0.0000	0.00	
14:12:52	0	0.1	0	0.2000	0.0000	0.00	
14:12:53	0	0.1	0	0.2000	0.0000	0.00	
14:12:54	0	0.3	0	0.0000	0.0000	0.00	
14:12:55	0	0.1	0	0.1000	0.0000	0.00	
14:12:56	0	0.2	0	0.3000	0.0000	0.00	
14:12:57	0	0.3	0	0.3000	0.0000	0.00	
14:12:58	0	0.1	0	0.1000	0.0000	0.00	
14:12:59	0	0.1	0	0.1000	0.0000	0.00	
14:13:00	0	0.1	0	0.0000	0.0000	0.00	
14:13:01	0	0.1	0	0.0000	0.0000	0.00	
14:13:02	0	0.1	0	0.0000	0.0000	0.00	
14:13:03	0	0.2	0	0.0000	0.0000	0.00	
14:13:04	0	0.2	0	0.0000	0.0000	0.00	
14:13:05	0	0.2	1	0.6000	0.1000	600.00	
14:13:06	0	0.2	1	1.2000	0.1000	1200.00	
14:13:07	0	0.2	1	1.0000	0.0000	0.00	
14:13:08	0	0.2	1	0.3000	0.0000	0.00	
14:13:09	0	0.2	1	0.0000	0.0000	0.00	
14:13:10	0	0.2	1	0.0000	0.0000	0.00	
14:13:11	0	0.2	1	0.0000	0.0000	0.00	
14:13:12	0	0.2	1	0.7000	0.1000	700.00	
14:13:13	0	0.2	2	1.3000	0.3000	433.33	
14:13:14	0	0.2	2	1.3000	0.3000	433.33	
14:13:15	0	0.2	3	2.3000	1.3000	176.92	
14:13:16	0	0.2	4	3.1000	3.1000	100.00	
14:13:17	0	0.3	5	4.1000	4.1000	100.00	
14:13:18	0	0.3	6	5.5000	4.9000	112.24	
14:13:19	0	0.3	8	6.0000	5.7000	105.26	
14:13:20	0	0.2	9	6.3000	5.0000	126.00	
14:13:21	0	0.2	11	6.6000	2.3000	286.96	
14:13:22	0	0.3	12	5.9000	0.3000	1966.67	
14:13:23	0	0.3	13	4.0000	0.2000	2000.00	
14:13:24	0	0.2	14	3.0000	1.2000	250.00	
14:13:25	0	0.2	14	2.2000	1.9000	115.79	
14:13:26	0	0.3	15	2.5000	1.3000	192.31	
14:13:27	0	0.3	16	3.5000	1.8000	194.44	
14:13:28	0	0.3	17	3.7000	3.3000	112.12	
14:13:29	0	0.3	18	4.5000	4.0000	112.50	
14:13:30	0	0.3	20	5.6000	4.8000	116.67	
14:13:31	0	0.3	21	5.5000	5.2000	105.77	
14:13:32	0	0.2	22	4.7000	4.7000	100.00	
14:13:33	0	0.3	23	4.2000	4.4000	95.45	
14:13:34	0	0.3	24	4.2000	4.2000	100.00	
14:13:35	0	0.2	25	4.6000	4.4000	104.55	
14:13:36	0	0.3	27	5.1000	4.4000	115.91	
14:13:37	0	0.3	28	5.3000	3.6000	147.22	
14:13:38	0	0.3	29	4.3000	3.1000	138.71	
14:13:39	0	0.2	30	3.1000	1.7000	182.35	
14:13:40	0	0.2	30	1.4000	0.2000	700.00	
14:13:41	0	0.2	30	0.1000	0.0000	0.00	
14:13:42	0	0.3	30	0.2000	0.3000	66.67	
14:13:43	0	0.3	30	0.8000	0.8000	100.00	
14:13:44	0	0.3	31	1.9000	0.6000	316.67	
14:13:45	0	0.2	31	2.7000	0.5000	540.00	
14:13:46	0	0.2	32	2.3000	0.3000	766.67	
14:13:47	0	0.3	32	1.8000	0.0000	0.00	
14:13:48	0	0.3	33	2.0000	0.0000	0.00	
14:13:49	0	0.3	33	1.9000	0.2000	950.00	
14:13:50	0	0.3	34	1.8000	0.4000	450.00	
14:13:51	0	0.2	34	1.9000	0.2000	950.00	
14:13:52	0	0.2	35	2.1000	0.1000	2100.00	
14:13:53	0	0.2	35	2.3000	0.3000	766.67	
14:13:54	0	0.3	36	1.8000	0.3000	600.00	
14:13:55	0	0.3	36	0.7000	0.0000	0.00	
14:13:56	0	0.3	36	0.1000	0.0000	0.00	
14:13:57	0	0.3	36	0.0000	0.0000	0.00	
14:13:58	0	0.3	36	0.0000	0.0000	0.00	
14:13:59	0	0.3	36	0.0000	0.0000	0.00	
14:14:00	0	0.3	36	0.0000	0.0000	0.00	
14:14:01	0	0.3	36	0.0000	0.0000	0.00	
14:14:02	0	0.3	36	0.0000	0.0000	0.00	
14:14:03	0	0.3	36	0.1000	0.0000	0.00	
14:14:04	0	0.3	36	0.1000	0.3000	33.33	
14:14:05	0	0.2	36	0.3000	0.8000	37.50	
14:14:06	0	0.3	36	1.1000	0.8000	137.50	
14:14:07	0	0.3	37	1.6000	1.0000	160.00	
14:14:08	0	0.8	37	1.6000	1.3000	123.08	
14:14:09	0	0.9	37	1.6000	1.5000	106.67	
14:14:10	0	1.5	38	1.5000	1.6000	93.75	
14:14:11	0	1.9	38	1.4000	1.5000	93.33	
14:14:12	0	2.4	39	1.6000	1.3000	123.08	
14:14:13	0	3.1	39	1.5000	1.3000	115.38	
14:14:14	0	3.5	39	1.5000	1.2000	125.00	
14:14:15	0	3.8	40	1.2000	1.0000	120.00	
14:14:16	0	4.4	40	1.1000	0.9000	122.22	
14:14:17	0	4.9	40	1.3000	1.0000	130.00	
14:14:18	0	5.5	41	1.2000	1.0000	120.00	
