Data Start: 2020-09-21 16:20:43
Data End: 2020-09-21 16:36:22
Devicename: Multi Plankton Sampler MPS
IdentNo.: 1020

Net []
Range1: 0 to 5

Pressure [dbar]
Range1: 0.0 to 3000.0  Cal0: -8.585877E+2  Cal1: 1.175972E-1  Cal2: -1.044298E-6  Cal3: -1.441992E+0  Cal4: 9.253807E-5  Cal5: -8.766143E-10  Cal6: 7.97392E-2  Cal7: 7.856609E-2  Cal8: -1.359118E-8

Volume [m³]
Range1: 0 to 65000  Cal0: 2.5E-1

Flow in [m/s]
Range1: 0.0000 to 9.9000

Flow out [m/s]
Range1: 0.0000 to 9.9000

Flow ratio [%]
Range1: 0.00 to 200.00

Header Comment

Ship:		
Cruise:		
Station:		
Cast:		
Position:		
Operator:		


Time [hh:mm:ss]	Net []	Pressure [dbar]	Volume [m³]	Flow in [m/s]	Flow out [m/s]	Flow ratio [%]	Comments  [Index]
16:20:43	0	0.0	0	0.1000	0.1000	100.00	
16:20:44	0	0.1	0	0.4000	0.1000	400.00	
16:20:45	0	0.1	0	0.3000	0.1000	300.00	
16:20:46	0	0.1	0	0.0000	0.0000	0.00	
16:20:47	0	0.1	0	0.1000	0.1000	100.00	
16:20:48	0	0.1	0	0.1000	0.1000	100.00	
16:20:49	0	0.1	0	0.0000	0.0000	0.00	
16:20:50	0	0.1	0	0.0000	0.1000	0.00	
16:20:51	0	0.1	0	0.0000	0.2000	0.00	
16:20:52	0	0.1	0	0.0000	0.1000	0.00	
16:20:53	0	0.1	0	0.1000	0.0000	0.00	
16:20:54	0	0.1	0	0.1000	0.0000	0.00	
16:20:55	0	0.1	0	0.0000	0.0000	0.00	
16:20:56	0	0.0	0	0.2000	0.0000	0.00	
16:20:57	0	0.0	0	0.5000	0.0000	0.00	
16:20:58	0	0.1	0	0.3000	0.0000	0.00	
16:20:59	0	0.1	0	0.0000	0.0000	0.00	
16:21:00	0	0.0	0	0.0000	0.0000	0.00	
16:21:01	0	0.0	0	0.0000	0.0000	0.00	
16:21:02	0	0.0	0	0.0000	0.0000	0.00	
16:21:03	0	0.1	0	0.1000	0.0000	0.00	
16:21:04	0	0.1	0	0.3000	0.0000	0.00	
16:21:05	0	0.0	0	0.3000	0.0000	0.00	
16:21:06	0	0.0	0	0.1000	0.0000	0.00	
16:21:07	0	0.0	0	0.0000	0.0000	0.00	
16:21:08	0	0.0	0	0.1000	0.0000	0.00	
16:21:09	0	0.0	0	0.1000	0.0000	0.00	
16:21:10	0	0.0	0	0.0000	0.0000	0.00	
16:21:11	0	0.1	0	0.0000	0.0000	0.00	
16:21:12	0	0.1	0	0.0000	0.0000	0.00	
16:21:13	0	0.1	1	0.8000	0.5000	160.00	
16:21:14	0	0.1	2	2.5000	2.8000	89.29	
16:21:15	0	0.1	3	3.7000	4.2000	88.10	
16:21:16	0	0.1	4	4.2000	4.3000	97.67	
16:21:17	0	0.1	5	4.8000	4.7000	102.13	
16:21:18	0	0.1	6	4.2000	3.5000	120.00	
16:21:19	0	0.1	7	3.9000	3.2000	121.87	
16:21:20	0	0.1	8	4.0000	3.6000	111.11	
16:21:21	0	0.1	9	3.9000	2.8000	139.29	
16:21:22	0	0.1	10	5.1000	4.0000	127.50	
