date,time,time,event,location,Whales?,comments,initials,page,,
,(24h ADT),(24h UTC),"(sono##, tubss##, net###, cage###)","Lat, Long (deg. min)","(yes, maybe, no, NA)",,,,,
18-Sep,9:28:00,12:28:00,Battery check,Dock,No,"OPC 26.33 V
Multinet 9.21 V
Walkie-talkies full
Vemco Bay chargin
CTD 8.8 V",KD,1 of 1,,
,9:57:00,12:57:00,Abort mission,"44 54.52 N
66 50.68 W",No,Swells too large,DM,1,,
,10:08:00,13:08:00,Glider off,"44 55.58 N
66 52.29 W",No,NA,DM,1,,
,,,,,,,,,,
19-Sep,11:17:00,14:17:00,Glider deployment,"44 52.870 N
66 47.974 W",No,"Glider programmed to go to northern waypoint during testing, then turn around for mission
Issues: cradle got caught in too-long rope loop -> tagline on cart next time!",DM,1 of 3,,
,11:25:00,14:25:00,Glider testing,"44 52.870 N
66 47.855 W",No,"Dive to 5 m and resurface (11:25)
Retrieved float (11:36)
Dive to 15 m and resurface (11:43)
Compass calibrations (11:55)",DM,1,,
,13:29:00,16:29:00,Glider mission start,"Boat: 
44 54.174 N
66 46.740 W
Glider:
44 54.2612 N
66 46.7244 W",No,"Mission abort at 19:25 ADT if we don't quit early
Initial dive to 60m -- after resurfacing, check AZFP, readjust deep inflection point, start cage/net
Mission start proper: 14:07",DM,1,,
,13:39:00,16:39:00,Boat echosounder turned off,"44 54.185 N
66 46.637 W",No,Boat echosounder was interfering with glider,DM,1,,
,14:17:00,17:17:00,cage005,"44 54.306 N
66 46.828 W",No,"54 kHz fish tag
Deployed to 107 m",DM,1,,
,14:50:00,17:50:00,multi004,"44 54.316 N
66 46.822 W",No,Scant amounts of plankton in nets,DM,2 of 3,,
,15:15:00,18:15:00,cage006,"44 53.564 N
66 47.251 W",No,143 m depth total,DM,2,,
,15:32:00,18:32:00,multi004 sample processing,"44 53.102 N
66 47.376 W",No,"Not enough biomass for cryo
Sample jar #s 207492-207496
Roughly 50 mins processing time",DM,2,,
,16:36:00,19:36:00,cage007,"44 52.413 N
66 47.559 W",No,146 m depth total,DM,2,,
,16:54:00,19:54:00,multi005,"44 52.372 N
66 47.662 W",No,More plankton,DM,2,,
,17:19:00,20:19:00,cage008,"44 52.036 N
66 48.479 W",No,145 depth total,DM,3 of 3,,
,17:29:00,20:29:00,multi005 sample processing,"44 51.847 N
66 48.818 W",No,Plankton mostly in deep nets,DM,,,
,18:20:00,21:20:00,Glider recovery,"44 49.442 N
66 50.549 W",No,NA,DM,,,
,18:42:00,21:42:00,Battery check,NA,No,"Multinet 8.9 V
CTD 8.7 V
OPC 26.01 V",DM,,,
,,,,,,,,,,
20-Sep,7:45:00,10:45:00,Battery swap,NA,No,"Swapped Seabird battery (took out battery B, replaced with battery SB)
SB voltage 11.3 V",DM,1 of 3,,
,8:01:00,11:01:00,Battery swap,NA,No,"Reviewed files from connection w/ SBER and it says that ""dv/dt step change"" when voltage less than 8.7 V. This was the issue why NO data was collected yesterday
NEW CUTOFF 9V",MP,1,,
,8:30:00,11:30:00,Glider deployment,"44 50.466 N
66 48.567 W",No,"Tow line attached to cart this time, no issues with cart",DM,1,,
,9:22:00,12:22:00,cage009,"44 50.360 N
66 47.960 W",No,110 m total depth,DM,1,,
,9:47:00,12:47:00,multi006,"44 50.426 N
66 49.850 W",No,Lots of swell yikes,DM,1,,
,10:08:00,13:08:00,cage010,"44 50.815 N
66 47.507 W",No,,,2 of 3,,
,10:44:00,13:44:00,cage011,"44 51.676 N
66 46.772 W",No,,,2,,
,11:09:00,14:09:00,multi007,"44 51.733 N
66 46.700 W",No,,,2,,
,11:33:00,14:33:00,cage012,"44 52.44 N
66 46.464 W",No,Instruments not turned off until 12:36,DM,2,,
,12:41:00,15:41:00,Glider recovery,"44 53.813 N
66 45.690 W",No,,DM,2,,
,12:58:00,15:58:00,cage013,"44 53.088 N
66 46.189 W",No,"Bottom of nets dragged along seaflor; reset and try again
No data",DM,3 of 3,,
,13:17:00,16:17:00,multi008,"44 53.163 N
66 46.073 W",No,,DM,3,,
,13:53:00,16:53:00,multi009,"44 53.126 N
66 46.168 W",No,,DM,3,,
,14:18:00,17:18:00,cage014,"44 53.534 N
66 45.680",No,,,3,,
,15:08:00,18:08:00,multi010,"44 51.688 N
66 46.702 W",No,146 m depth,DM,3,,
,,,,,,,,,,
21-Sep,6:52:00,9:52:00,Battery check,NA,No,"Swapped out OPC battery #3
Battery 3 lasted 14 casts before needing a charge. Charged to 28.25 V
Swapped in battery #2 @ 26.7 V",,1 of 4,,
,9:15:00,12:15:00,On watch,NA,No,Kim on whale watch in GMB,,1,,
,9:41:00,12:41:00,Off watch,NA,No,No whales sighted,,1,,
,9:55:00,12:55:00,NA,NA,No,"200 kHz echosounder shows layer of likely copepods at 30-60 m
Layer does not appear on 38, 75, or 130 kHz echosounders, so likely copepods
Captain says layer disappeared 2-3 miles back",,1,,
,10:0?,13:0?,Glider deployment,"44 40.888 N
66 29.544 W",No,NA,DM,1,,
,10:22:00,13:22:00,NA,NA,No,"Second probable-copepod layer at 100m depth, in addition to 30-60m layer
Jude in and out of signal, Fox has no service, sat phone works in wheelhouse",DM,2 of 4,,
,10:48:00,13:48:00,Echosunder,"44 41.131 N
66 29.089 W",No,"200 kHz echosounder momentarily turned on to check copepod layers; 20-50 m and 90-110m layers
Kim has picture of echosounder
Echosounder off at 10:50 ADT",,2,,
,10:52:00,13:52:00,cage015,"44 41.131 N
66 29.129 W",No,NA,,2,,
