"Station
(###)","Multinet #
(###)",Vert or Obl,"Date
(dd-mmm)",Start Time,End Time,Start Position Lat,Start Position Long,End Position Lat,End Position Long,"Unlock
(dbar)","Net 1
(dbar)","Net 2
(dbar)","Net 3
(dbar)","Net 4
(dbar)","Net 5
(dbar)","Cryo
(T/F)",Total # Jars,Label #s,Comments,Archived raw data loc/name (Picard),Archived txt data loc/name (Picard)
,,,,,,,,,,,,,,,,,,,,C:\ProgramData\OceanLab3\Logfiles\MPS_1020\Offline\,C:\Users\lab SJ-FOB-2XGQTG2\Documents\Cruise\2020_barkerboys\Leg2\Data\multi\
3,004,o,19-Sep,14:50:00,15:06:00,44 54.316,66 46.822,44 53.33,66 47.285,107,102,80,60,40,20,F,5,"207492, 207493, 207494, 207495, 207496",,MPS_1020_2020-09-19_17-50-13.hbl,MPS_1020_2020-09-19_17-50-31.txt
4,005,o,19-Sep,16:54:00,17:05:00,44 52.372,66 47.662,44 52.028,66 48.425,138,133,106,80,54,28,F,5,"207497, 207498, 207499, 207500, 207854",,MPS_1020_2020-09-19_19-52-44.hbl,MPS_1020_2020-09-19_19-52-44.txt
5,006,o,20-Sep,9:33:00,9:47:00,44 50.421,66 47.850,44 50.734,66 47.601,100,95,76,57,38,19,F,5,"207855, 207856, 207857, 207858, 207859",,MPS_1020_2020-09-20_12-44-26.hbl,MPS_1020_2020-09-20_12-44-26.txt
6,007,o,20-Sep,11:09:00,11:23:00,44 51.733,66 46.700,44 52.219,66 45.400,129,124,99,74,49,24,F,5,"207860, 207861, 207862, 207863, 207864",,MPS_1020_2020-09-20_14-06-42.hbl,MPS_1020_2020-09-20_14-06-42.txt
7,008,o,20-Sep,13:17:00,,44 53.163,66 46.073,,,136,131,105,79,53,27,F,0,NA,Nets dragged along bottom; no data collected,MPS_1020_2020-09-20_16-16-20.hbl,MPS_1020_2020-09-20_16-16-20.txt
7,009,o,20-Sep,13:53:00,14:04:00,44 53.126,66 46.168,44 53.502,66 45.717,125,120,96,72,48,24,F,5,"207865, 207866, 207867, 207868, 207869",,MPS_1020_2020-09-20_16-52-30.hbl,MPS_1020_2020-09-20_16-52-30.txt
6,010,o,20-Sep,15:08:00,15:18:00,44 51.688,66 46.702,44 52.337,66 49.921,125,120,96,72,48,24,T (1),1,207870,Long tow with nets unarmed (net 5 left open); depth integrated sample,MPS_1020_2020-09-20_18-06-48.hbl,MPS_1020_2020-09-20_18-06-48.txt
8,011,o,21-Sep,11:14:00,11:28:00,44 41.206,66 29.146,44 41.853,66 29.085,167,162,110,90,50,20,F,5,"207871, 207872, 207873, 207874, 207875",,MPS_1020_2020-09-21_14-12-20.hbl,MPS_1020_2020-09-21_14-12-20.txt
9,012,o,21-Sep,13:00:00,13:11:00,44 43.675,66 28.635,44 44.235,66 28.734,152,147,122,97,72,40,F,0,NA,"Undershot unlocking depth, nets did not trigger",MPS_1020_2020-09-21_15-57-42.hbl,MPS_1020_2020-09-21_15-57-42.txt
9,013,o,21-Sep,13:22:00,13:33:00,44 43.702,66 28.619,44 44.242,66 28.695,152,147,122,97,72,40,F,5,"207876, 207877, 207878, 207879, 207880",,MPS_1020_2020-09-21_16-20-42.hbl,MPS_1020_2020-09-21_16-20-42.txt
10,014,o,21-Sep,14:31:00,14:44:00,44 45.921,66 28.269,44 46.473,66 28.633,152,147,122,97,72,40,F,5,"207881, 207882, 207701, 207702, 207703",First tow against the tide,MPS_1020_2020-09-21_17-28-47.hbl,MPS_1020_2020-09-21_17-28-47.txt
11,015,o,24-Sep,12:19:00,12:49:00,44 40.636,66 29.371,44 39.985,66 28.354,170,150,120,80,50,20,F,5,"207704, 207705, 207706, 207707, 207708","Aborted tow @ 12:19, improperly programmed depths (did not take copepod layers into account)
Net 2 jar lost most of sample",MPS_1020_2020-09-24_15-28-21.hbl,MPS_1020_2020-09-24_15-28-21.txt
12,016,o,24-Sep,14:04:00,14:20:00,44 41.340,66 28.939,44 42.312,66 28.940,165,160,140,110,75,40,F,5,"207709, 207710, 207711, 207712, 207713",,MPS_1020_2020-09-24_17-02-23.hbl,MPS_1020_2020-09-24_17-02-23.txt
13,017,o,24-Sep,15:22:00,15:39:00,44 44.809,66 28.741,44 45.798,66 28.286,152,147,117,87,57,27,F,5,"207714, 207715, 207716, 207717, 207718",No layers,MPS_1020_2020-09-24_18-19-14.hbl,MPS_1020_2020-09-24_18-19-14.txt
14,018,o,24-Sep,16:27:00,16:39:00,44 46.723,66 28.658,44 46.432,66 28.632,148,143,112,84,56,28,F,5,"207719, 207720, 207721, 207722, 207723",,MPS_1020_2020-09-24_19-26-15.hbl,MPS_1020_2020-09-24_19-26-15.txt
15,019,o,25-Sep,13:28:00,13:44:00,44 40.437,66 29.483,44 41.073,66 29.428,172,167,132,98,64,30,F,5,"207724, 207725, 207726, 207727, 207728",Noticed Calanus in 3 nets (1-3). This is the first sample of the cruise where we noticed Calanus in 3 nets,MPS_1020_2020-09-25_16-27-29.hbl,MPS_1020_2020-09-25_16-27-29.txt
16,020,o,25-Sep,14:51:00,15:09:00,44 41.142,66 29.394,44 42.016,66 29.617,166,161,130,110,90,30,F,6,"207729, 207730, 207731, 207732, 207733",Layer present on echosounder from 130-110m and 30-0m,MPS_1020_2020-09-25_17-50-24.hbl,MPS_1020_2020-09-25_17-50-24.txt
17,021,o,25-Sep,16:15:00,16:31:00,44 42.349,66 29.637,44 43.284,66 29.656,158,153,110,77,44,20,F,5,"207734, 207735, 207736, 207737, 207738",Layers present on echosounder from 153-110m and 20-0m,MPS_1020_2020-09-25_19-15-00.hbl,MPS_1020_2020-09-25_19-15-00.txt
18,022,o,26-Sep,9:41:00,9:53:00,44 53.545,66 46.763,44 52.994,66 47.345,122,117,94,71,48,25,F,5,"207739, 207740, 207741, 207742, 207743",Multinet left on when brought on deck - file size is large,MPS_1020_2020-09-26_12-39-35.hbl,MPS_1020_2020-09-26_12-39-35.txt
19,023,o,26-Sep,10:54:00,11:05:00,44 52.197,66 47.663,44 51.595,66 47.772,131,126,100,75,50,25,F,5,"207744, 207745, 207746, 207747, 207748",,MPS_1020_2020-09-26_13-51-12.hbl,MPS_1020_2020-09-26_13-51-12.txt
20,024,o,26-Sep,11:53:00,12:03:00,44 50.901,66 48.228,44 50.345,66 48.034,105,100,80,60,40,20,F,5,"207749, 207750, 207751, 207752, 207753","Extra file - had to reprogram depths due to shoaling (MPS_1020_2020-09-26_14-46-04.hbl)
Multinet left on on deck (off @ 12:44)",MPS_1020_2020-09-26_14-52-14.hbl,MPS_1020_2020-09-26_14-52-14.txt
19,025,o,26-Sep,13:09:00,13:19:00,44 52.359,66 47.540,44 51.955,66 47.652,129,124,100,75,50,25,T (7),0,"207754, 207755, 207756, 207757, 207758","Cryovial only tow
Net 1 Calanus and ctenophores
Net 2 Calanus and krill
Nets 3-5 small copepods",MPS_1020_2020-09-26_16-07-40.hbl,MPS_1020_2020-09-26_16-07-40.txt
19,026,o,26-Sep,14:01:00,14:12:00,44 52.335,66 47.561,44 51.989,66 47.548,129,124,100,75,50,25,T (6),0,"207759, 207760, 207761, 207762, 207763","Cryovial only tow
Net 1 Calanus and ctenophores
Net 2 Calanus and krill
Nets 3-5 small copepods",MPS_1020_2020-09-26_16-58-50.hbl,MPS_1020_2020-09-26_16-58-50.txt
